"time","p_L","p_A","p_M","pi_t","avg_vulnerability","n_disasters","disaster_severity","n_migrations","scenario","replication"
16,0.08,0.72,0.2,0.0229773699100256,0.000207518770941531,1,0,0,"High Risk, Low Adaptation",1
17,0.11,0.69,0.2,0.0109869426305932,0,1,0,0,"High Risk, Low Adaptation",1
18,0.09,0.71,0.2,0.0191240367508889,0,1,0,0,"High Risk, Low Adaptation",1
19,0.04,0.76,0.2,0.0132228217523051,0,1,0,0,"High Risk, Low Adaptation",1
20,0.09,0.71,0.2,0.00522012569355839,0,1,0,0,"High Risk, Low Adaptation",1
21,0.07,0.73,0.2,0.0132228217523051,0,1,0,0,"High Risk, Low Adaptation",1
22,0.05,0.75,0.2,0.00912563738918052,0,1,0,0,"High Risk, Low Adaptation",1
23,0.03,0.77,0.2,0.00628990213689248,0,1,0,0,"High Risk, Low Adaptation",1
24,0.05,0.75,0.2,0.00433150202056399,0,1,0,0,"High Risk, Low Adaptation",1
25,0.05,0.75,0.2,0.00628990213689248,0,1,0,0,"High Risk, Low Adaptation",1
26,0.07,0.73,0.2,0.00628990213689248,0,1,0,0,"High Risk, Low Adaptation",1
27,0.11,0.69,0.2,0.00912563738918052,0,1,0,0,"High Risk, Low Adaptation",1
28,0.08,0.72,0.2,0.0191240367508889,0,1,0,0,"High Risk, Low Adaptation",1
29,0.1,0.7,0.2,0.0109869426305932,0,1,0,0,"High Risk, Low Adaptation",1
30,0.12,0.68,0.2,0.0159063917118147,0,1,0,0,"High Risk, Low Adaptation",1
31,0.1,0.7,0.2,0.0229773699100256,0,1,0,0,"High Risk, Low Adaptation",1
32,0.09,0.71,0.2,0.0159063917118147,0,1,0,0,"High Risk, Low Adaptation",1
33,0.05,0.75,0.2,0.0132228217523051,0,1,0,0,"High Risk, Low Adaptation",1
34,0.07,0.73,0.2,0.00628990213689248,0,1,0,0,"High Risk, Low Adaptation",1
35,0.08,0.72,0.2,0.00912563738918052,0,1,0,0,"High Risk, Low Adaptation",1
36,0.12,0.68,0.2,0.0109869426305932,0,1,0,0,"High Risk, Low Adaptation",1
37,0.11,0.69,0.2,0.0229773699100256,0,1,0,0,"High Risk, Low Adaptation",1
38,0.11,0.69,0.2,0.0191240367508889,0,1,0,0,"High Risk, Low Adaptation",1
39,0.08,0.72,0.2,0.0191240367508889,0,1,0,0,"High Risk, Low Adaptation",1
40,0.08,0.72,0.2,0.0109869426305932,0,1,0,0,"High Risk, Low Adaptation",1
41,0.14,0.66,0.2,0.0109869426305932,0,1,0,0,"High Risk, Low Adaptation",1
42,0.15,0.65,0.2,0.0330859783887041,0,1,0,0,"High Risk, Low Adaptation",1
43,0.13,0.67,0.2,0.03963883910097,0,1,0,0,"High Risk, Low Adaptation",1
44,0.14,0.66,0.2,0.02758528222679,0,1,0,0,"High Risk, Low Adaptation",1
45,0.1,0.7,0.2,0.0330859783887041,0,1,0,0,"High Risk, Low Adaptation",1
46,0.11,0.69,0.2,0.0159063917118147,0,1,0,0,"High Risk, Low Adaptation",1
47,0.1,0.7,0.2,0.0191240367508889,0,1,0,0,"High Risk, Low Adaptation",1
